Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
Honda,Civic,2019,4.9,Electric,Automatic,73887,2,4,16722
Hyundai,Sonata,2022,4.8,Petrol,Automatic,14112,2,5,16717
Toyota,Camry,2023,2.3,Electric,Automatic,4398,5,5,16712
Mercedes,GLA,2015,4.9,Electric,Automatic,14529,2,5,16709
Ford,Fiesta,2022,4.1,Electric,Manual,4726,3,1,16705
Hyundai,Tucson,2021,4.6,Hybrid,Automatic,43494,5,1,16630
Audi,A4,2016,4.6,Electric,Automatic,19046,3,1,16619
Kia,Rio,2019,4.5,Hybrid,Automatic,9917,2,3,16601
Mercedes,GLA,2021,4.6,Electric,Manual,20503,2,2,16589
Hyundai,Elantra,2023,4.8,Electric,Automatic,137191,3,5,16556
BMW,X5,2022,4.6,Electric,Manual,37782,5,5,16544
Ford,Explorer,2016,4.4,Electric,Automatic,14988,4,2,16500
Toyota,Corolla,2014,4.7,Electric,Automatic,199,5,3,16496
Hyundai,Elantra,2023,3.1,Electric,Automatic,55386,3,2,16492
Volkswagen,Passat,2016,4.8,Electric,Automatic,36943,5,1,16461
Ford,Explorer,2023,4.6,Electric,Semi-Automatic,58921,2,3,16421
Hyundai,Elantra,2023,4.7,Electric,Semi-Automatic,65453,5,2,16390
Mercedes,GLA,2021,4.2,Electric,Manual,10841,2,4,16383
Toyota,Corolla,2023,4.8,Electric,Automatic,147067,4,2,16358
Audi,A3,2019,3.8,Electric,Automatic,37886,5,3,16342
Hyundai,Tucson,2016,4.8,Electric,Automatic,42962,2,2,16340
Volkswagen,Tiguan,2020,4.1,Electric,Automatic,68269,2,3,16334
Ford,Explorer,2023,4.4,Diesel,Automatic,28301,2,1,16333
Volkswagen,Passat,2019,4.6,Hybrid,Automatic,28657,4,4,16326
Mercedes,GLA,2022,4.5,Diesel,Automatic,19165,2,5,16316
Volkswagen,Golf,2021,4.9,Hybrid,Automatic,74795,4,3,16304
Hyundai,Elantra,2022,3.6,Electric,Manual,538,2,1,16289
Volkswagen,Golf,2020,4.4,Hybrid,Automatic,37821,2,5,16243
Volkswagen,Golf,2022,4.6,Petrol,Automatic,28189,3,2,16236
Honda,CR-V,2023,1.8,Electric,Automatic,3235,5,4,16235
Hyundai,Elantra,2021,3.9,Electric,Automatic,78429,2,1,16231
Ford,Explorer,2020,4.7,Hybrid,Automatic,54878,4,5,16202
Honda,Civic,2016,4.4,Electric,Automatic,31046,4,3,16179
Honda,Civic,2022,3.0,Hybrid,Automatic,1140,5,5,16177
Volkswagen,Golf,2023,4.4,Electric,Automatic,136725,4,3,16165
Kia,Rio,2023,3.2,Hybrid,Automatic,26840,5,4,16163
Hyundai,Sonata,2022,3.0,Electric,Automatic,52689,2,1,16146
Toyota,RAV4,2023,4.0,Electric,Semi-Automatic,42653,5,3,16146
Ford,Focus,2023,3.7,Electric,Manual,27676,2,3,16146
Volkswagen,Tiguan,2023,4.1,Hybrid,Automatic,72819,3,4,16143
Kia,Optima,2021,4.9,Hybrid,Manual,7865,5,2,16142
Mercedes,C-Class,2020,3.6,Electric,Automatic,53294,5,3,16134
Volkswagen,Passat,2020,4.3,Electric,Semi-Automatic,13344,2,4,16133
Toyota,Corolla,2023,4.8,Hybrid,Semi-Automatic,34738,2,3,16105
Honda,Civic,2020,4.6,Electric,Automatic,107435,4,2,16051
Audi,A3,2019,3.3,Electric,Automatic,27571,4,3,16048
Mercedes,GLA,2019,4.5,Electric,Automatic,87606,5,1,16047
Mercedes,C-Class,2019,4.5,Electric,Automatic,87765,4,5,16044
BMW,3 Series,2020,4.1,Electric,Manual,8111,4,2,16037
Ford,Fiesta,2018,4.7,Electric,Manual,8898,3,5,16022
Honda,CR-V,2020,4.3,Electric,Semi-Automatic,20484,3,2,15990
Hyundai,Sonata,2020,4.7,Electric,Manual,41018,4,5,15979
Audi,Q5,2018,5.0,Petrol,Automatic,1887,3,3,15962
Honda,Civic,2018,4.3,Hybrid,Automatic,18535,4,5,15929
Volkswagen,Passat,2020,4.9,Petrol,Automatic,28699,4,5,15926
Hyundai,Elantra,2023,4.5,Electric,Semi-Automatic,79478,4,4,15910
Hyundai,Sonata,2020,4.7,Hybrid,Automatic,70553,2,2,15888
Audi,A4,2020,4.0,Electric,Automatic,85954,5,1,15880
Mercedes,E-Class,2020,4.3,Electric,Semi-Automatic,26407,2,5,15871
Mercedes,C-Class,2023,3.8,Electric,Automatic,121773,2,5,15864
Audi,A4,2017,4.5,Hybrid,Automatic,17255,5,2,15854
Audi,A3,2021,3.1,Hybrid,Automatic,7341,5,4,15853
Toyota,Corolla,2022,4.6,Diesel,Automatic,48034,3,1,15839
Audi,Q5,2020,4.3,Diesel,Automatic,4064,2,4,15818
Hyundai,Sonata,2018,4.6,Electric,Manual,15033,2,1,15799
Honda,CR-V,2018,4.9,Electric,Automatic,105241,2,3,15795
Chevrolet,Impala,2022,3.5,Hybrid,Automatic,46403,5,1,15771
Volkswagen,Tiguan,2022,4.2,Hybrid,Manual,6591,3,1,15768
Toyota,Camry,2022,3.4,Electric,Semi-Automatic,16671,5,4,15766
Honda,Accord,2019,4.5,Petrol,Automatic,1711,3,3,15765
Honda,Accord,2023,1.9,Electric,Automatic,31933,2,3,15761
Ford,Fiesta,2019,3.7,Electric,Automatic,62114,2,4,15757
Toyota,Camry,2022,3.6,Hybrid,Automatic,52344,2,4,15753
BMW,5 Series,2022,4.9,Hybrid,Automatic,117711,4,2,15745
Ford,Focus,2015,5.0,Hybrid,Automatic,17834,3,4,15743
Mercedes,E-Class,2017,4.1,Electric,Automatic,53004,4,5,15739
Hyundai,Sonata,2022,3.1,Hybrid,Automatic,28342,3,5,15733
Chevrolet,Equinox,2023,4.0,Hybrid,Automatic,88992,3,4,15720
Hyundai,Sonata,2020,3.4,Hybrid,Automatic,15353,3,4,15692
Honda,Accord,2023,4.5,Diesel,Automatic,65889,4,5,15682
Audi,Q5,2020,2.6,Electric,Automatic,26106,5,5,15677
Audi,A4,2013,5.0,Electric,Automatic,41303,2,1,15673
Mercedes,GLA,2020,4.7,Electric,Semi-Automatic,56519,5,4,15669
Ford,Focus,2019,3.9,Electric,Semi-Automatic,1639,4,5,15667
Hyundai,Elantra,2021,4.3,Hybrid,Automatic,76879,5,4,15662
Ford,Explorer,2013,4.5,Electric,Automatic,17331,2,3,15653
Mercedes,GLA,2019,3.7,Hybrid,Automatic,18073,4,5,15638
BMW,5 Series,2016,4.6,Hybrid,Automatic,18806,2,5,15623
Volkswagen,Golf,2022,1.9,Electric,Automatic,24515,2,5,15609
Kia,Optima,2021,4.0,Electric,Semi-Automatic,39843,4,5,15603
Chevrolet,Impala,2020,4.6,Electric,Automatic,130431,5,5,15591
Chevrolet,Equinox,2018,4.7,Diesel,Automatic,6212,4,3,15575
Mercedes,GLA,2018,4.4,Electric,Automatic,91226,3,4,15575
Audi,A3,2015,4.5,Electric,Automatic,51414,4,5,15571
Toyota,RAV4,2021,4.5,Hybrid,Manual,17312,3,3,15553
BMW,X5,2019,3.2,Electric,Automatic,47918,3,2,15541
Mercedes,C-Class,2019,4.5,Electric,Manual,38471,4,4,15530
Hyundai,Tucson,2018,4.6,Electric,Manual,28506,4,3,15529
Ford,Explorer,2021,4.1,Hybrid,Automatic,73569,4,1,15528
Chevrolet,Equinox,2020,4.2,Electric,Semi-Automatic,38561,4,2,15528
Kia,Rio,2023,2.1,Electric,Automatic,53707,2,5,15525
Audi,A3,2017,3.8,Electric,Automatic,49554,5,5,15508
Toyota,RAV4,2020,3.5,Electric,Semi-Automatic,4758,4,1,15504
Audi,A3,2021,4.2,Hybrid,Manual,5409,3,5,15491
Volkswagen,Golf,2022,4.1,Hybrid,Semi-Automatic,15423,4,3,15491
Honda,Civic,2022,4.5,Electric,Automatic,160884,2,2,15482
Kia,Rio,2022,4.2,Hybrid,Semi-Automatic,21289,2,5,15474
Audi,Q5,2020,5.0,Diesel,Automatic,56508,3,3,15469
Mercedes,E-Class,2023,3.1,Electric,Manual,31674,5,3,15466
Volkswagen,Golf,2015,4.4,Hybrid,Automatic,1847,3,4,15463
Kia,Rio,2022,4.9,Petrol,Manual,6863,2,1,15462
Kia,Optima,2023,3.3,Petrol,Automatic,16917,5,3,15461
Chevrolet,Impala,2018,3.9,Hybrid,Automatic,22059,4,3,15458
Volkswagen,Passat,2023,2.6,Hybrid,Automatic,32598,5,3,15448
BMW,5 Series,2023,3.6,Hybrid,Manual,8520,4,3,15429
BMW,5 Series,2019,3.5,Electric,Automatic,69098,3,4,15418
Mercedes,E-Class,2021,2.2,Electric,Automatic,34151,4,4,15416
Audi,Q5,2019,2.9,Electric,Automatic,39310,3,1,15413
Hyundai,Tucson,2021,3.3,Electric,Manual,14806,3,4,15403
Hyundai,Sonata,2020,2.4,Electric,Automatic,30068,3,1,15398
Hyundai,Sonata,2022,2.5,Electric,Automatic,65076,5,4,15398
BMW,5 Series,2020,4.1,Hybrid,Automatic,65158,3,1,15396
Kia,Rio,2021,3.7,Electric,Automatic,110781,3,4,15384
Volkswagen,Passat,2022,2.5,Hybrid,Automatic,15999,3,4,15380
Ford,Focus,2018,4.0,Electric,Manual,6098,4,5,15378
Volkswagen,Golf,2022,3.9,Electric,Manual,61450,4,2,15371
BMW,5 Series,2022,4.2,Diesel,Automatic,51622,5,2,15367
Toyota,Camry,2019,2.5,Electric,Automatic,21694,2,4,15366
Audi,A3,2021,4.5,Hybrid,Automatic,102123,4,3,15357
Mercedes,C-Class,2023,2.9,Electric,Automatic,102120,4,1,15357
Toyota,Corolla,2018,4.4,Electric,Semi-Automatic,27278,3,5,15354
Volkswagen,Passat,2023,4.0,Electric,Automatic,158733,3,2,15325
Toyota,RAV4,2017,4.4,Hybrid,Automatic,38918,3,2,15321
Volkswagen,Tiguan,2016,4.6,Electric,Manual,9071,5,2,15318
Kia,Rio,2023,3.7,Hybrid,Automatic,94331,5,5,15313
Hyundai,Tucson,2021,4.4,Hybrid,Semi-Automatic,24969,2,5,15300
Honda,Accord,2021,4.5,Hybrid,Manual,30072,2,4,15298
Chevrolet,Equinox,2019,4.8,Hybrid,Manual,15204,5,5,15295
Chevrolet,Impala,2017,3.0,Electric,Automatic,20308,3,4,15293
Honda,Accord,2019,2.6,Electric,Automatic,30363,2,1,15292
BMW,3 Series,2022,4.8,Petrol,Automatic,85532,3,5,15289
Ford,Explorer,2016,3.3,Electric,Automatic,20770,4,4,15284
BMW,5 Series,2023,2.0,Hybrid,Automatic,11349,3,4,15273
Kia,Optima,2022,3.3,Petrol,Automatic,11758,5,1,15264
Mercedes,GLA,2023,4.5,Electric,Automatic,187138,5,5,15257
Volkswagen,Tiguan,2021,4.1,Diesel,Automatic,37195,4,5,15256
Mercedes,GLA,2015,4.4,Hybrid,Automatic,12304,3,3,15253
Hyundai,Sonata,2021,4.4,Electric,Automatic,152585,5,3,15248
Hyundai,Tucson,2018,4.3,Hybrid,Automatic,52641,2,2,15247
Volkswagen,Golf,2021,4.0,Diesel,Automatic,32991,5,3,15240
Audi,Q5,2020,4.2,Hybrid,Manual,3079,5,4,15238
BMW,X5,2021,3.3,Hybrid,Automatic,48794,4,4,15224
Chevrolet,Malibu,2017,4.1,Electric,Manual,3945,2,4,15221
Toyota,Camry,2023,4.6,Hybrid,Semi-Automatic,69109,3,5,15217
Hyundai,Tucson,2021,4.8,Hybrid,Automatic,124636,5,1,15207
Mercedes,GLA,2021,3.9,Electric,Automatic,129980,2,3,15200
Ford,Focus,2018,4.2,Hybrid,Automatic,50161,3,3,15196
Toyota,Corolla,2014,4.8,Electric,Automatic,70217,2,3,15195
Audi,Q5,2023,4.9,Hybrid,Automatic,160297,2,5,15194
Volkswagen,Passat,2020,3.9,Electric,Automatic,115410,2,2,15191
Volkswagen,Tiguan,2023,3.6,Petrol,Automatic,45801,4,4,15183
Audi,A4,2015,4.6,Electric,Automatic,75917,3,5,15181
Kia,Optima,2022,3.2,Electric,Automatic,110964,2,5,15180
Volkswagen,Golf,2022,4.8,Petrol,Semi-Automatic,16372,3,3,15172
Toyota,Corolla,2023,4.7,Diesel,Manual,26460,3,5,15170
Toyota,Corolla,2017,4.7,Electric,Automatic,112996,5,3,15140
BMW,5 Series,2019,3.9,Electric,Automatic,103855,2,3,15122
BMW,X5,2020,3.9,Electric,Semi-Automatic,44392,4,5,15112
Toyota,Corolla,2015,4.8,Electric,Automatic,89572,3,4,15108
Kia,Optima,2023,3.6,Diesel,Automatic,50457,2,4,15090
Volkswagen,Tiguan,2017,4.3,Electric,Semi-Automatic,20535,3,5,15089
Mercedes,C-Class,2021,4.3,Hybrid,Manual,30752,2,1,15084
Hyundai,Tucson,2022,3.0,Hybrid,Automatic,55945,5,2,15081
Volkswagen,Passat,2022,4.1,Electric,Semi-Automatic,85911,3,5,15081
Ford,Explorer,2022,2.7,Electric,Semi-Automatic,16475,4,4,15070
BMW,3 Series,2019,1.9,Electric,Automatic,6745,2,1,15065
Chevrolet,Impala,2022,4.9,Petrol,Automatic,102089,5,5,15058
Honda,Accord,2016,4.6,Hybrid,Automatic,47219,2,4,15055
Ford,Explorer,2023,3.4,Petrol,Automatic,42411,5,4,15051
Chevrolet,Impala,2020,5.0,Petrol,Semi-Automatic,3514,2,3,15029
Mercedes,E-Class,2019,5.0,Electric,Semi-Automatic,88654,2,4,15026
Toyota,Corolla,2023,3.4,Hybrid,Semi-Automatic,19096,3,2,15018
Chevrolet,Malibu,2017,3.5,Electric,Automatic,59665,3,1,15006
Hyundai,Tucson,2022,3.8,Petrol,Automatic,50336,5,5,14993
Honda,CR-V,2022,4.6,Hybrid,Manual,65449,3,3,14991
Volkswagen,Golf,2020,3.3,Electric,Automatic,95581,4,2,14988
Toyota,Camry,2019,2.6,Electric,Automatic,45977,3,2,14980
Kia,Rio,2022,2.6,Electric,Automatic,90981,4,4,14980
Volkswagen,Golf,2015,4.7,Electric,Automatic,91544,3,1,14969
Audi,Q5,2023,3.4,Electric,Manual,71686,4,3,14966
Toyota,Camry,2018,4.8,Hybrid,Semi-Automatic,16725,2,5,14965
Kia,Sportage,2022,3.6,Hybrid,Automatic,92022,4,4,14959
Toyota,Corolla,2020,1.9,Electric,Automatic,27280,4,3,14954
Ford,Explorer,2023,4.2,Petrol,Semi-Automatic,12478,3,4,14950
Mercedes,GLA,2014,4.9,Electric,Manual,12671,2,5,14946
Ford,Fiesta,2017,5.0,Diesel,Automatic,37949,4,4,14941
Kia,Optima,2018,4.3,Hybrid,Automatic,68045,4,3,14939
Mercedes,E-Class,2022,4.6,Diesel,Semi-Automatic,18092,2,5,14938
BMW,5 Series,2017,2.7,Electric,Automatic,23058,2,3,14938
Honda,CR-V,2016,4.9,Electric,Automatic,118813,4,1,14923
Mercedes,C-Class,2022,4.4,Diesel,Manual,8848,2,4,14923
Chevrolet,Equinox,2017,4.6,Electric,Manual,44327,4,2,14913
Volkswagen,Tiguan,2022,4.4,Diesel,Manual,9320,3,1,14913
Chevrolet,Equinox,2021,4.8,Diesel,Automatic,89746,3,4,14905
Chevrolet,Equinox,2023,2.0,Electric,Manual,5086,5,3,14898
Ford,Focus,2015,4.8,Electric,Automatic,100603,4,2,14887
Toyota,Camry,2022,4.0,Petrol,Automatic,66018,4,5,14879
Toyota,Corolla,2021,3.9,Diesel,Automatic,46069,4,2,14878
Toyota,RAV4,2017,4.8,Diesel,Automatic,31166,2,5,14876
Ford,Explorer,2021,2.7,Electric,Semi-Automatic,11278,2,4,14874
Ford,Focus,2019,4.5,Hybrid,Semi-Automatic,21304,3,4,14873
Chevrolet,Equinox,2023,4.2,Diesel,Automatic,91363,4,4,14872
Chevrolet,Malibu,2023,1.4,Hybrid,Automatic,1485,2,1,14870
Honda,Civic,2021,3.7,Electric,Semi-Automatic,62000,4,5,14860
Kia,Rio,2019,4.9,Hybrid,Manual,42389,4,2,14852
Kia,Rio,2022,3.2,Diesel,Automatic,27425,4,1,14851
BMW,3 Series,2023,3.2,Electric,Automatic,142564,3,1,14848
Chevrolet,Malibu,2022,4.4,Hybrid,Manual,62734,5,1,14845
Hyundai,Elantra,2017,2.9,Electric,Automatic,38133,5,2,14837
Mercedes,C-Class,2023,4.2,Petrol,Manual,18248,2,5,14835
Audi,Q5,2015,4.7,Electric,Automatic,98489,4,4,14830
Honda,Civic,2022,3.7,Hybrid,Semi-Automatic,28519,5,1,14829
Kia,Sportage,2016,4.5,Hybrid,Automatic,54099,3,2,14818
Toyota,Corolla,2020,3.9,Diesel,Automatic,34167,3,4,14816
Honda,Civic,2018,4.6,Diesel,Automatic,39465,5,1,14810
Mercedes,E-Class,2022,3.1,Hybrid,Semi-Automatic,287,4,3,14794
Toyota,RAV4,2014,4.9,Hybrid,Automatic,45435,3,1,14791
Toyota,Corolla,2014,5.0,Electric,Manual,25556,4,3,14788
Audi,A3,2017,4.3,Electric,Automatic,110919,3,1,14781
Audi,Q5,2020,4.1,Diesel,Automatic,46625,4,4,14767
BMW,X5,2020,4.2,Diesel,Automatic,51730,2,3,14765
Audi,Q5,2023,4.7,Electric,Automatic,222000,3,3,14760
Volkswagen,Tiguan,2023,4.8,Diesel,Semi-Automatic,52021,2,5,14759
Volkswagen,Golf,2023,3.9,Diesel,Semi-Automatic,7087,4,4,14758
Chevrolet,Malibu,2017,5.0,Electric,Automatic,147404,3,1,14751
Kia,Sportage,2019,4.0,Hybrid,Automatic,77676,4,4,14746
BMW,X5,2023,4.1,Petrol,Automatic,92854,4,1,14742
Ford,Fiesta,2023,4.3,Petrol,Semi-Automatic,28020,3,3,14739
Toyota,Camry,2022,4.8,Electric,Automatic,213016,5,1,14739
Mercedes,E-Class,2023,3.9,Hybrid,Semi-Automatic,58107,3,2,14737
Audi,A4,2022,2.7,Electric,Manual,33563,3,5,14728
Volkswagen,Passat,2023,4.1,Hybrid,Manual,68834,3,4,14723
Honda,Accord,2021,4.2,Petrol,Automatic,68962,3,3,14720
Chevrolet,Impala,2019,4.1,Hybrid,Semi-Automatic,9046,4,3,14719
Mercedes,C-Class,2021,3.7,Hybrid,Semi-Automatic,19065,4,5,14718
Chevrolet,Equinox,2019,4.1,Hybrid,Semi-Automatic,9200,3,2,14716
Mercedes,GLA,2018,4.4,Hybrid,Manual,9421,5,2,14711
Volkswagen,Tiguan,2023,2.8,Hybrid,Automatic,79464,2,1,14710
BMW,5 Series,2018,3.7,Electric,Automatic,99505,3,3,14709
Chevrolet,Malibu,2011,4.8,Electric,Automatic,49802,2,4,14703
Chevrolet,Malibu,2017,3.8,Electric,Manual,14956,2,3,14700
Chevrolet,Malibu,2015,4.7,Electric,Manual,30179,4,1,14696
Kia,Optima,2023,3.5,Petrol,Automatic,65179,5,3,14696
Volkswagen,Golf,2018,3.6,Electric,Manual,20269,3,4,14694
Honda,CR-V,2022,3.8,Electric,Manual,90870,3,5,14682
Kia,Sportage,2018,3.9,Hybrid,Automatic,60938,5,2,14681
Kia,Sportage,2019,3.8,Petrol,Automatic,20945,5,5,14681
Hyundai,Sonata,2016,4.8,Hybrid,Manual,1064,2,1,14678
Chevrolet,Equinox,2023,2.3,Hybrid,Automatic,56104,4,3,14677
Chevrolet,Equinox,2023,4.8,Hybrid,Automatic,181534,2,4,14669
Ford,Explorer,2013,3.9,Electric,Automatic,36738,4,5,14665
Ford,Focus,2021,3.9,Electric,Automatic,156720,5,2,14665
BMW,3 Series,2021,4.9,Diesel,Automatic,106965,3,3,14660
Chevrolet,Impala,2022,1.4,Electric,Automatic,47019,3,5,14659
Ford,Explorer,2023,4.7,Hybrid,Semi-Automatic,102316,4,1,14653
Honda,CR-V,2016,4.4,Petrol,Automatic,7588,4,5,14648
Kia,Sportage,2022,2.2,Electric,Automatic,87759,2,2,14644
Mercedes,C-Class,2017,2.2,Electric,Automatic,13096,3,2,14638
BMW,3 Series,2022,3.8,Petrol,Automatic,68244,5,5,14635
Honda,Civic,2020,4.7,Electric,Automatic,183276,3,5,14634
Toyota,RAV4,2011,5.0,Hybrid,Automatic,13473,5,4,14630
Chevrolet,Malibu,2018,4.9,Petrol,Automatic,63522,4,2,14629
Chevrolet,Equinox,2021,3.9,Hybrid,Automatic,108581,4,1,14628
Chevrolet,Malibu,2023,2.1,Electric,Manual,23698,4,4,14626
Audi,A3,2023,4.1,Hybrid,Manual,73687,4,2,14626
Mercedes,GLA,2018,4.8,Hybrid,Automatic,108824,3,4,14623
Mercedes,C-Class,2020,3.5,Petrol,Automatic,23933,3,3,14621
Volkswagen,Golf,2022,2.2,Electric,Semi-Automatic,13951,5,1,14620
Kia,Optima,2018,4.7,Petrol,Automatic,54454,2,2,14610
Mercedes,E-Class,2020,3.6,Diesel,Automatic,29521,3,5,14609
Mercedes,E-Class,2020,2.2,Hybrid,Automatic,10108,4,4,14597
Ford,Explorer,2021,2.9,Electric,Automatic,110514,3,5,14589
Honda,Civic,2017,4.8,Diesel,Automatic,45576,2,4,14588
BMW,3 Series,2016,3.9,Electric,Automatic,85557,3,2,14588
Ford,Focus,2023,4.5,Petrol,Automatic,121263,2,2,14574
Hyundai,Sonata,2020,2.7,Electric,Manual,11279,4,2,14574
Ford,Focus,2023,4.1,Hybrid,Automatic,151476,4,4,14570
Volkswagen,Tiguan,2015,4.5,Hybrid,Automatic,51637,3,5,14567
Chevrolet,Impala,2012,4.4,Electric,Automatic,51605,4,3,14567
Mercedes,E-Class,2019,4.9,Diesel,Automatic,81641,2,1,14567
BMW,X5,2019,3.9,Electric,Manual,56649,2,3,14567
BMW,5 Series,2018,4.9,Electric,Semi-Automatic,91708,3,4,14565
Volkswagen,Golf,2016,4.2,Petrol,Automatic,1716,4,4,14565
Audi,A4,2020,4.8,Electric,Manual,116761,2,3,14564
Mercedes,E-Class,2021,4.8,Diesel,Semi-Automatic,31848,2,1,14563
Hyundai,Tucson,2010,4.1,Electric,Automatic,6807,2,2,14563
Audi,A4,2017,4.8,Petrol,Automatic,47216,5,5,14555
BMW,5 Series,2021,2.2,Electric,Semi-Automatic,2578,5,4,14548
Mercedes,GLA,2015,5.0,Hybrid,Semi-Automatic,2683,3,4,14546
Toyota,RAV4,2018,4.4,Electric,Semi-Automatic,67821,5,4,14543
Kia,Rio,2019,4.9,Petrol,Semi-Automatic,8059,5,2,14538
Hyundai,Tucson,2021,4.7,Electric,Semi-Automatic,128351,5,3,14532
Chevrolet,Malibu,2011,3.8,Electric,Automatic,8371,3,2,14532
Toyota,Camry,2020,1.7,Electric,Automatic,39049,4,3,14519
Chevrolet,Malibu,2022,3.7,Electric,Automatic,169151,5,3,14516
Chevrolet,Impala,2022,2.5,Electric,Automatic,109284,4,5,14514
Mercedes,GLA,2020,3.5,Electric,Semi-Automatic,54365,3,5,14512
Ford,Focus,2018,3.3,Electric,Automatic,89393,3,5,14512
Audi,A3,2022,4.6,Diesel,Semi-Automatic,39523,5,1,14509
Toyota,Camry,2022,3.7,Electric,Manual,94565,4,5,14508
Honda,CR-V,2012,4.9,Electric,Manual,4608,3,2,14507
Ford,Focus,2020,2.8,Electric,Automatic,94715,2,1,14505
Hyundai,Elantra,2021,4.4,Hybrid,Automatic,139803,3,4,14503
Volkswagen,Golf,2021,2.9,Electric,Manual,39924,2,5,14501
Hyundai,Elantra,2022,5.0,Diesel,Automatic,135041,2,2,14499
Hyundai,Tucson,2016,4.4,Electric,Automatic,115042,3,1,14499
Kia,Rio,2016,4.2,Hybrid,Automatic,55052,5,3,14498
Toyota,Camry,2018,3.4,Electric,Semi-Automatic,20423,3,1,14491
Hyundai,Sonata,2019,4.6,Hybrid,Semi-Automatic,45408,4,3,14491
BMW,X5,2023,3.9,Hybrid,Semi-Automatic,70509,4,3,14489
Audi,A3,2023,3.5,Petrol,Automatic,75607,2,2,14487
Audi,A4,2023,4.2,Electric,Automatic,210669,5,2,14486
Chevrolet,Malibu,2022,3.1,Electric,Manual,65766,4,2,14484
Toyota,Camry,2021,3.1,Electric,Manual,51057,3,5,14478
BMW,5 Series,2021,3.1,Electric,Manual,51446,5,4,14471
Toyota,Corolla,2018,4.9,Hybrid,Semi-Automatic,46501,2,2,14469
Audi,Q5,2019,3.6,Hybrid,Automatic,71871,2,4,14462
Audi,A4,2023,4.8,Petrol,Manual,67091,3,1,14458
Hyundai,Elantra,2019,3.1,Hybrid,Automatic,47141,3,2,14457
Ford,Explorer,2023,2.4,Petrol,Automatic,22168,5,4,14456
Mercedes,E-Class,2018,4.7,Electric,Automatic,162547,3,3,14449
Hyundai,Tucson,2007,4.9,Electric,Automatic,7559,3,5,14448
BMW,X5,2014,4.9,Diesel,Automatic,12718,4,4,14445
Ford,Fiesta,2013,3.5,Electric,Automatic,27879,2,4,14442
Hyundai,Elantra,2016,3.5,Hybrid,Automatic,22926,2,2,14441
BMW,5 Series,2021,2.9,Electric,Manual,43345,5,5,14433
Chevrolet,Equinox,2019,3.9,Hybrid,Semi-Automatic,13333,5,1,14433
BMW,5 Series,2019,2.8,Electric,Manual,8447,5,3,14431
Honda,Accord,2019,4.5,Electric,Manual,93409,2,1,14431
Volkswagen,Passat,2021,4.1,Electric,Semi-Automatic,103502,4,1,14429
Kia,Optima,2018,4.2,Hybrid,Semi-Automatic,13628,2,5,14427
Ford,Fiesta,2022,4.0,Diesel,Manual,13780,2,1,14424
Audi,Q5,2022,3.5,Electric,Automatic,163972,3,2,14420
Audi,A3,2022,3.3,Electric,Manual,79350,5,3,14413
Honda,Accord,2018,3.1,Electric,Semi-Automatic,9387,4,2,14412
Chevrolet,Impala,2023,4.7,Petrol,Manual,64538,4,2,14409
Toyota,Corolla,2019,2.6,Electric,Automatic,75419,2,4,14391
Audi,Q5,2018,2.4,Electric,Automatic,50466,2,1,14390
Toyota,Corolla,2023,3.8,Hybrid,Semi-Automatic,70760,4,1,14384
